sim_time cohesion
50 3.04 
100 -1.6 
150 -0.96 
200 -1.24 
250 0.37 
300 -1.36 
350 5.12 
400 7.55 
450 1.18 
500 1.96 
550 25.23 
600 12.04 
650 20.02 
700 21.06 
750 14.99 
800 19.35 
850 15.96 
900 6.54 
950 19.76 
1000 11.16 
1050 11.84 
1100 13.36 
1150 11.12 
1200 11.04 
1250 12.91 
1300 17.86 
1350 26.8 
1400 13.58 
1450 6.4 
1500 13.79 
1550 16.16 
1600 16.57 
1650 12.42 
1700 8.18 
1750 8.58 
1800 13.96 
1850 12.96 
1900 6.69 
1950 9.52 
2000 14.42 
2050 2.28 
2100 -0.64 
2150 0.99 
2200 2.63 
2250 0.53 
2300 0.34 
2350 2.01 
2400 -0.45 
2450 -0.67 
2500 -2.1 
2550 -2.54 
2600 -0.83 
2650 -2.52 
2700 -1.84 
2750 0.6 
2800 -0.93 
2850 2.42 
2900 1.05 
2950 7.62 
3000 -2.55 
3050 0.29 
3100 -0.73 
3150 1.52 
3200 4.46 
3250 1.65 
3300 5.3 
3350 1.72 
3400 3.21 
3450 -0.1 
3500 0.16 
3550 0.16 
3600 5.49 
3650 1.1 
3700 0.47 
3750 0.2 
3800 4.75 
3850 1.32 
3900 3.52 
3950 -0.83 
4000 0.12 
4050 0.67 
4100 2.56 
4150 7.63 
4200 1.16 
4250 1.34 
4300 0.94 
4350 3.18 
4400 2.19 
4450 7.1 
4500 3.22 
4550 10.79 
4600 20.43 
4650 6.4 
4700 10.97 
4750 10.6 
4800 22.13 
4850 22.65 
4900 26.05 
4950 30.07 
5000 17.28 
5050 22.99 
5100 26.79 
5150 14.19 
5200 13.51 
5250 21.6 
5300 22.19 
5350 15.05 
5400 23.66 
5450 22.19 
5500 13.71 
5550 16.25 
5600 18.65 
5650 25.32 
5700 32.29 
5750 26.84 
5800 28.79 
5850 25.49 
5900 23.84 
5950 20.43 
6000 23.64 
6050 24.03 
6100 24.24 
6150 19.33 
6200 22.37 
6250 31.87 
6300 24.19 
6350 23.9 
6400 32.52 
6450 38.34 
6500 21.14 
6550 7.51 
6600 9.36 
6650 10.4 
6700 4.7 
6750 1.38 
6800 24.19 
6850 7.47 
6900 6.28 
6950 10.32 
7000 15.48 
7050 10.71 
7100 20.47 
7150 13.88 
7200 4.46 
7250 1.29 
7300 7.55 
7350 -0.23 
7400 -0.29 
7450 1.14 
7500 -0.61 
7550 -0.24 
7600 -0.3 
7650 -0.93 
7700 6.67 
7750 7.34 
7800 7.32 
7850 10.03 
7900 12.3 
7950 12.82 
8000 13.78 
8050 11.83 
8100 4.76 
8150 7.66 
8200 5.26 
8250 9.01 
8300 3.69 
8350 3.35 
8400 3.46 
8450 0.95 
8500 1.14 
8550 -0.47 
8600 2.71 
8650 -1.04 
8700 -2.18 
8750 1.1 
8800 2.24 
8850 1.41 
8900 -0.04 
8950 2.23 
9000 2.22 
9050 -1.29 
9100 -1.23 
9150 3.14 
9200 5.32 
9250 3.41 
9300 0.23 
9350 2.26 
9400 -1.14 
9450 -1.96 
9500 -2.81 
9550 -2.49 
9600 -2.69 
9650 1.32 
9700 -0.4 
9750 0.1 
9800 -3.01 
9850 -2.58 
9900 -2.46 
9950 -1.32 
10000 0.85 
10050 3.83 
10100 3.32 
10150 0.66 
10200 2.98 
10250 2.03 
10300 5.42 
10350 -0.37 
10400 7.9 
10450 2.41 
10500 2.57 
10550 -0.11 
10600 -0.25 
10650 2.85 
10700 0.35 
10750 -0.9 
10800 -1.49 
10850 -1.92 
10900 -0.71 
10950 -1.28 
11000 0.01 
11050 0.23 
11100 3.18 
11150 8.63 
11200 5.72 
11250 0.91 
11300 4.03 
11350 1.5 
11400 -1.73 
11450 -1.44 
11500 -2.28 
11550 -0.54 
11600 2.41 
11650 0.19 
11700 -0.24 
11750 -1.26 
11800 -0.82 
11850 -0.32 
11900 -0.87 
11950 1.82 
12000 3.83 
12050 4.09 
12100 0.62 
12150 -0.05 
12200 5.67 
12250 0.44 
12300 3.61 
12350 4.66 
12400 -1.64 
12450 -1.19 
12500 0.07 
12550 3.59 
12600 1.65 
12650 5.04 
12700 -0.17 
12750 -0.91 
12800 0.58 
12850 -0.33 
12900 -0.03 
12950 4.41 
13000 2.07 
13050 -1.53 
13100 0.88 
13150 0.58 
13200 -0.74 
13250 0.95 
13300 2.07 
13350 10.98 
13400 6.83 
13450 3.57 
13500 4.59 
13550 3.63 
13600 0.98 
13650 -0.94 
13700 -0.64 
13750 -1.58 
13800 -0.55 
13850 -1.2 
13900 -1.78 
13950 6.34 
14000 -1.34 
14050 0.88 
14100 -0.92 
14150 -0.36 
14200 3.11 
14250 8.91 
14300 2.38 
14350 6.23 
14400 3.92 
14450 4.31 
14500 4.44 
14550 3.74 
14600 8.65 
14650 4.82 
14700 3.81 
14750 4.45 
14800 6.02 
14850 4.11 
14900 2.39 
14950 2.77 
15000 -0.95 
15050 -1.83 
15100 -0.51 
15150 1.01 
15200 0.09 
15250 -1.75 
15300 -1.7 
15350 3.5 
15400 3.35 
15450 2.11 
15500 4.05 
15550 3.98 
15600 1 
15650 0.97 
15700 4.01 
15750 4.33 
15800 3.19 
15850 11.47 
15900 6.87 
15950 3.38 
16000 9.75 
16050 4.32 
16100 4.24 
16150 11.32 
16200 5.36 
16250 21.62 
16300 18.51 
16350 6.88 
16400 13.38 
16450 20.46 
16500 20.32 
16550 14.9 
16600 17.68 
16650 21.71 
16700 13.31 
16750 27.34 
16800 11.08 
16850 13.74 
16900 8.81 
16950 8.85 
17000 14.95 
17050 -1.39 
17100 6.35 
17150 5.79 
17200 3.84 
17250 9.29 
17300 9.42 
17350 0.98 
17400 9.3 
17450 9.19 
17500 8.61 
17550 5.04 
17600 4.34 
17650 4.11 
17700 7.7 
17750 11.59 
17800 4.94 
17850 2.2 
17900 5.24 
17950 5.59 
18000 2.32 
18050 4.67 
18100 4.47 
18150 -1.84 
18200 -0.66 
18250 11.7 
18300 10.86 
18350 6 
18400 4.37 
18450 1.87 
