sim_time cohesion
50 -0.69 
100 0.9 
150 -0.97 
200 -0.76 
250 -1.73 
300 -1.41 
350 2.56 
400 -1.24 
450 -2.09 
500 -1.48 
550 -1.98 
600 -1.99 
650 -1.54 
700 0.72 
750 3.82 
800 -1.65 
850 -2.36 
900 -0.47 
950 -1.99 
1000 1.16 
1050 0.44 
1100 -0.99 
1150 1.91 
1200 4.07 
1250 1.47 
1300 3.66 
1350 1.71 
1400 0.47 
1450 0.64 
1500 5.78 
1550 3.41 
1600 15.31 
1650 15.16 
1700 17.54 
1750 12.45 
1800 26.74 
1850 8.85 
1900 12.6 
1950 16.39 
2000 19.83 
2050 17.17 
2100 30.54 
2150 18.9 
2200 12.43 
2250 23.09 
2300 13.83 
2350 19.84 
2400 13.83 
2450 10.88 
2500 8.16 
2550 22.31 
2600 13.67 
2650 17.09 
2700 27.66 
2750 27.99 
2800 21.53 
2850 27.37 
2900 27.19 
2950 25.27 
3000 34.59 
3050 45.42 
3100 23.6 
3150 13.74 
3200 21.31 
3250 26.63 
3300 28.45 
3350 32.62 
3400 23.31 
3450 27.5 
3500 27.39 
3550 12.75 
3600 15.63 
3650 16.74 
3700 15.01 
3750 20.23 
3800 13.3 
3850 11.08 
3900 17.79 
3950 23.8 
4000 20.58 
4050 25.99 
4100 29.48 
4150 27.48 
4200 16.34 
4250 34.88 
4300 37.3 
4350 28.08 
4400 26.4 
4450 37.45 
4500 23.55 
4550 19.01 
4600 22.87 
4650 22.83 
4700 33.07 
4750 45.98 
4800 23.69 
4850 42 
4900 37.92 
4950 41.25 
5000 29.83 
5050 35.71 
5100 46.56 
5150 43.52 
5200 33.62 
5250 38.14 
5300 27.76 
5350 39.38 
5400 36.13 
5450 42.42 
5500 44.98 
5550 31.08 
5600 42.03 
5650 52.37 
5700 50.3 
5750 38.51 
5800 40.13 
5850 38.86 
5900 45.1 
5950 49.62 
6000 48.73 
6050 47.5 
6100 41.06 
6150 47.02 
6200 56.19 
6250 53.23 
6300 39.49 
6350 45.47 
6400 48.84 
6450 65.46 
6500 66.23 
6550 63.76 
6600 55.16 
6650 57.08 
6700 55.52 
6750 53.27 
6800 47.09 
6850 45.81 
6900 49.82 
6950 57.58 
7000 72.28 
7050 66.12 
7100 49.3 
7150 56.13 
7200 45.64 
7250 51.07 
7300 44.72 
7350 55.41 
7400 44.74 
7450 51.32 
7500 44.15 
7550 47.81 
7600 46.67 
7650 51.49 
7700 47.73 
7750 61.15 
7800 53.86 
7850 49.98 
7900 39.53 
7950 51.05 
8000 51.37 
8050 45.75 
8100 56.34 
8150 52.01 
8200 48.39 
8250 51.86 
8300 51.4 
8350 38.9 
8400 52.6 
8450 60.56 
8500 57.54 
8550 49.75 
8600 50.38 
8650 54.81 
8700 53.12 
8750 45.88 
8800 62.89 
8850 49.99 
8900 64.43 
8950 63.93 
9000 59.29 
9050 53.27 
9100 66.49 
9150 63.34 
9200 63.54 
9250 58.39 
9300 69.19 
9350 61.69 
9400 67.6 
9450 64.49 
9500 69.15 
9550 69.77 
9600 67.5 
9650 64.05 
9700 67.08 
9750 62.52 
9800 69.51 
9850 68.64 
9900 70.32 
9950 67.29 
10000 61.51 
10050 60.08 
10100 68.33 
10150 62.24 
10200 72.17 
10250 69.73 
10300 71.74 
10350 64.57 
10400 72.32 
10450 67.25 
10500 66.02 
10550 74.38 
10600 72.92 
10650 70.68 
10700 70.52 
