sim_time cohesion
50 -1.46 
100 1.78 
150 -1.91 
200 -1.55 
250 3.95 
300 10.33 
350 4.26 
400 6.39 
450 14.44 
500 3.62 
550 3.14 
600 8.32 
650 6.17 
700 10.21 
750 20.37 
800 12.54 
850 21 
900 20.52 
950 23.2 
1000 19.86 
1050 19.76 
1100 24.63 
1150 25.11 
1200 10.27 
1250 4.2 
1300 7.2 
1350 12.08 
1400 8.1 
1450 8.79 
1500 15.7 
1550 12.73 
1600 16.49 
1650 13.27 
1700 14.65 
1750 20.57 
1800 9.49 
1850 11.92 
1900 16 
1950 4.45 
2000 10.38 
2050 2.54 
2100 0.68 
2150 7.57 
2200 10.35 
2250 5.71 
2300 20.7 
2350 7.75 
2400 8.72 
2450 2.36 
2500 5.37 
2550 1.71 
2600 2.5 
2650 -1.97 
2700 3.98 
2750 7.91 
2800 -0.45 
2850 -1.92 
2900 -1.84 
2950 4.24 
3000 1.37 
3050 -1.86 
3100 -2.05 
3150 -2.15 
3200 -0.54 
3250 -1.83 
3300 -0.91 
3350 -0.23 
3400 -1.5 
3450 5.85 
3500 7.3 
3550 7.93 
3600 3.24 
3650 4.14 
3700 6.59 
3750 2.48 
3800 4.65 
3850 -0.7 
3900 5.93 
3950 5.47 
4000 1.08 
4050 1 
4100 2.11 
4150 4.78 
4200 -1.42 
4250 0.16 
4300 0.74 
4350 2.32 
4400 4.41 
4450 8.07 
4500 7.27 
4550 4.46 
4600 1.48 
4650 13.62 
4700 8.84 
4750 4.25 
4800 11.88 
4850 11.96 
4900 14.09 
4950 14.66 
5000 14.36 
5050 4.06 
5100 -0.6 
5150 -1.67 
5200 2.87 
5250 2.38 
5300 5.56 
5350 -0.33 
5400 -2.11 
5450 -2.31 
5500 -1.95 
5550 -2.08 
5600 -0.83 
5650 -1.23 
5700 -1.53 
5750 -2.05 
5800 -1.66 
5850 -1.2 
5900 -2.09 
5950 -1.98 
6000 0.16 
6050 -0.46 
6100 -2.18 
6150 -0.93 
6200 1.38 
6250 0.48 
6300 -0.26 
6350 -0.34 
6400 -0.71 
6450 -2.05 
6500 3.96 
6550 4.38 
6600 2.73 
6650 1.28 
6700 -0.79 
6750 -2.59 
6800 -1.84 
6850 -0.82 
6900 0.63 
6950 -0.39 
7000 4.41 
7050 0.72 
7100 -2.55 
7150 -2.25 
7200 0.62 
7250 2.3 
7300 -0.79 
7350 -1.76 
7400 -1.44 
7450 -2.07 
7500 0.86 
7550 4.28 
7600 0.46 
7650 2.03 
7700 -1.52 
7750 0.91 
7800 1.52 
7850 1.24 
7900 -1.84 
7950 -1.93 
8000 -2.14 
8050 -0.58 
8100 -1.71 
8150 -1.57 
8200 0.75 
8250 -2.95 
8300 0.82 
8350 0.03 
8400 6.33 
8450 0.05 
8500 -2.18 
8550 -2.93 
8600 -1.46 
8650 -0.16 
8700 4.94 
8750 0.14 
8800 2.84 
8850 0.19 
8900 4.25 
8950 3.96 
9000 8.02 
9050 1.38 
9100 5.19 
9150 6.19 
9200 4.55 
9250 2.58 
9300 9.21 
9350 5.05 
9400 6.88 
9450 2.43 
9500 0.61 
9550 1.72 
9600 8.91 
9650 3.81 
9700 8.35 
9750 3.91 
9800 1.31 
9850 4.28 
9900 0.37 
9950 6.79 
10000 5.77 
10050 14.76 
10100 -2.59 
10150 -1.22 
10200 -1.28 
10250 -1.11 
10300 1.88 
10350 -0.44 
10400 0.88 
10450 -0.46 
10500 1.35 
10550 0.99 
10600 -2.69 
10650 -1.89 
10700 -2.67 
10750 0.23 
10800 -0.77 
10850 -0.22 
10900 5.34 
10950 -1.03 
11000 1.21 
11050 -2.69 
11100 -0.37 
11150 -2.29 
11200 5.49 
11250 -2.16 
11300 -1.64 
11350 1.22 
11400 2.31 
11450 7.02 
11500 3.95 
11550 5.99 
11600 8.85 
11650 6.21 
11700 4.9 
11750 7.46 
11800 21.34 
11850 8.99 
11900 6.24 
11950 8.73 
12000 5.29 
12050 2.25 
12100 8.86 
12150 20.36 
12200 4.79 
12250 15.63 
12300 15.33 
12350 10.82 
12400 8.68 
12450 19.51 
12500 2.73 
12550 1.72 
12600 -0.45 
12650 4.89 
12700 3.45 
12750 2.88 
12800 1.15 
12850 6.63 
12900 14.63 
12950 6.55 
13000 13.93 
13050 8.29 
13100 11.32 
13150 21.32 
13200 24.56 
13250 16.73 
13300 33.6 
13350 23.02 
13400 6.43 
13450 17.07 
13500 14.87 
13550 18.97 
13600 5.6 
13650 0.85 
13700 13.41 
13750 18.91 
13800 6.59 
13850 8.24 
13900 13.18 
13950 6.03 
14000 12.07 
14050 8.08 
14100 3.53 
14150 0.89 
14200 1.64 
14250 15.11 
14300 13.79 
14350 8.01 
14400 16.57 
14450 11.14 
14500 5.89 
14550 5.59 
14600 3.78 
14650 3.87 
14700 -2.25 
14750 3.78 
14800 2.41 
14850 12.63 
14900 6.6 
14950 17.36 
15000 2.11 
15050 11.42 
15100 5.29 
15150 9.92 
15200 10.68 
