sim_time cohesion
50 -1.88 
100 6.4 
150 -1.25 
200 10.14 
250 17.43 
300 10.73 
350 20.75 
400 11.27 
450 20.41 
500 20.54 
550 33.89 
600 20.97 
650 20.72 
700 23.54 
750 26.67 
800 18.08 
850 20.78 
900 18.2 
950 9.58 
1000 11.13 
1050 14.02 
1100 13.23 
1150 25.75 
1200 24.86 
1250 14.95 
1300 20.15 
1350 17.11 
1400 22.93 
1450 25.43 
1500 34.73 
1550 36.41 
1600 17.39 
1650 28.96 
1700 14.71 
1750 21.96 
1800 18.09 
1850 10.6 
1900 18.27 
1950 27.46 
2000 19.35 
2050 18.62 
2100 16.02 
2150 27.84 
2200 15.24 
2250 18.78 
2300 27.9 
2350 22.17 
2400 28.25 
2450 30.2 
2500 22.23 
2550 20.12 
2600 31.7 
2650 35.33 
2700 37.51 
2750 29.11 
2800 22.81 
2850 21.86 
2900 8.8 
2950 6.88 
3000 9.61 
3050 11.98 
3100 8.48 
3150 2.37 
3200 3.64 
3250 9.44 
3300 24.97 
3350 15.75 
3400 15.59 
3450 7.75 
3500 16.14 
3550 7.05 
3600 9.09 
3650 11.79 
3700 10.18 
3750 11.21 
3800 11.17 
3850 22.63 
3900 8.27 
3950 15.68 
4000 19.7 
4050 7.3 
4100 4.51 
4150 9.37 
4200 3.21 
4250 5.57 
4300 7.31 
4350 11.96 
4400 12 
4450 6.46 
4500 3.17 
4550 10.41 
4600 16.63 
4650 15.05 
4700 12.11 
4750 9.47 
4800 17.61 
4850 9.43 
4900 9.69 
4950 14.72 
5000 24.43 
5050 20.36 
5100 23.23 
5150 29.32 
5200 29.96 
5250 22.42 
5300 32.56 
5350 46.05 
5400 34.2 
5450 25.88 
5500 28.64 
5550 29.26 
5600 31.51 
5650 30.81 
5700 42.61 
5750 32.63 
5800 39.04 
5850 40.68 
5900 31.95 
5950 39.96 
6000 28.15 
6050 18.86 
6100 26.96 
6150 20.06 
6200 38.51 
6250 34.38 
6300 20.83 
6350 26.62 
6400 25.1 
6450 31.97 
6500 20.04 
6550 26.99 
6600 27.5 
6650 33.13 
6700 28.45 
6750 27.81 
6800 45.47 
6850 34.31 
6900 22.36 
6950 20.63 
7000 20.59 
7050 15.05 
7100 20.89 
7150 10.25 
7200 26.13 
7250 31.89 
7300 22.4 
7350 16.56 
7400 16.83 
7450 13.17 
7500 15.7 
7550 15.7 
7600 16.61 
7650 32.84 
7700 29.56 
7750 27.37 
7800 30.45 
7850 17.87 
7900 36.71 
7950 44.28 
8000 28.42 
8050 30.68 
8100 42.86 
8150 24.24 
8200 17.07 
8250 22.18 
8300 11.31 
8350 14.67 
8400 6.72 
8450 8.85 
8500 15.25 
8550 15.44 
8600 15.52 
8650 23.96 
8700 29.65 
8750 36.36 
8800 37.24 
8850 44.88 
8900 53.17 
8950 40.57 
9000 44.78 
9050 46.15 
9100 42.12 
9150 52.44 
9200 34.31 
9250 42.62 
9300 43.3 
9350 36.36 
9400 46.35 
9450 49.06 
9500 37.8 
9550 38.47 
9600 43.6 
9650 41.87 
9700 48.09 
9750 58.68 
9800 50.67 
9850 59.97 
9900 37.96 
9950 50.96 
10000 38.35 
10050 36.09 
10100 44.48 
10150 50.1 
10200 47.3 
10250 39.65 
10300 34.32 
10350 50.53 
10400 35.97 
10450 34.75 
10500 38.61 
10550 33.34 
10600 28.59 
10650 22.76 
10700 18.86 
10750 26.34 
10800 34.2 
10850 24.28 
10900 40.5 
10950 33.08 
11000 22.85 
11050 16.79 
11100 18.82 
11150 12.92 
11200 37.52 
11250 38.04 
11300 46.31 
11350 38.48 
11400 33.35 
11450 22.86 
11500 26.25 
11550 21.04 
11600 31.93 
11650 18.75 
11700 23.87 
11750 17.12 
11800 17.37 
11850 22.09 
11900 6.51 
11950 22.28 
12000 9.26 
12050 14.55 
12100 15.88 
12150 6.15 
12200 21.22 
12250 22.38 
12300 12.97 
12350 9.16 
12400 25.39 
12450 16.62 
12500 19.25 
12550 31.09 
12600 17.12 
12650 34.14 
12700 28.23 
12750 19.66 
12800 22.14 
12850 21.59 
12900 20.27 
12950 10.62 
13000 29.1 
13050 17.38 
13100 27.08 
13150 32.18 
13200 46.26 
13250 39.3 
13300 36.67 
13350 40.69 
13400 26.21 
13450 35.16 
13500 36.72 
13550 38.93 
13600 22.99 
13650 18.85 
13700 28.57 
13750 20.85 
13800 29.07 
13850 27.98 
13900 39.17 
13950 30.87 
14000 27.99 
14050 38.03 
14100 49.63 
14150 37.67 
14200 30.47 
14250 38.56 
14300 39.78 
14350 32.89 
14400 40.23 
14450 39.62 
14500 35 
14550 34.06 
14600 35.16 
14650 56.52 
14700 36.21 
14750 32.36 
14800 29.71 
14850 35.46 
14900 14.54 
14950 20.09 
15000 18.12 
15050 19.19 
15100 22.2 
15150 27.79 
15200 20.13 
15250 18.26 
15300 13.56 
15350 23.55 
15400 20.21 
15450 24.83 
15500 18.99 
15550 20.74 
